timestamp,open,high,low,close,volume
2025-06-16 04:00:00,530.2,530.2,529.12,529.45,30580
2025-06-16 04:05:00,529.42,529.95,529.42,529.95,15551
2025-06-16 04:10:00,529.98,530.04,529.79,529.82,3057
2025-06-16 04:15:00,529.78,529.84,529.67,529.67,4264
2025-06-16 04:20:00,529.5,529.87,529.5,529.87,1935
2025-06-16 04:25:00,529.85,530.0,529.85,530.0,1803
2025-06-16 04:30:00,530.0,530.27,529.9,530.04,4684
2025-06-16 04:35:00,529.96,530.25,529.84,530.25,1922
2025-06-16 04:40:00,529.99,530.24,529.96,530.24,1687
2025-06-16 04:45:00,530.2,530.26,530.16,530.26,2006
2025-06-16 04:50:00,530.22,530.28,530.21,530.22,2137
2025-06-16 04:55:00,530.22,530.26,530.1,530.17,6336
2025-06-16 05:00:00,530.17,530.29,529.82,529.83,2617
2025-06-16 05:05:00,529.93,530.03,529.74,529.74,1350
2025-06-16 05:10:00,529.79,529.79,529.3,529.31,9962
2025-06-16 05:15:00,529.34,529.61,529.18,529.46,11109
2025-06-16 05:20:00,529.55,529.57,529.52,529.55,2826
2025-06-16 05:25:00,529.59,529.77,529.46,529.47,3070
2025-06-16 05:30:00,529.46,529.47,529.28,529.37,6025
2025-06-16 05:35:00,529.4,529.4,528.97,529.13,5251
2025-06-16 05:40:00,529.16,529.34,529.16,529.34,834
2025-06-16 05:45:00,529.25,529.38,529.07,529.08,1440
2025-06-16 05:50:00,529.21,529.38,529.21,529.38,1730
2025-06-16 05:55:00,529.38,529.53,529.38,529.46,2487
2025-06-16 06:00:00,529.28,529.36,529.24,529.25,6138
2025-06-16 06:05:00,529.32,529.32,529.24,529.26,3623
2025-06-16 06:10:00,529.32,529.61,529.32,529.52,6050
2025-06-16 06:15:00,529.61,529.67,529.6,529.66,21481
2025-06-16 06:20:00,529.65,529.65,529.64,529.64,800
2025-06-16 06:25:00,529.61,529.67,529.58,529.61,1550
2025-06-16 06:30:00,529.6,529.64,529.59,529.59,900
2025-06-16 06:35:00,529.69,529.76,529.64,529.64,19915
2025-06-16 06:40:00,529.29,529.41,529.29,529.41,800
